"n","b","est_name","psi","lower","upper"
500,1,"IPCW-TMLE",0.123635156690624,0.0419726823309636,0.205297631050284
500,1,"IPCW-TMLE-SL",0.140010184323816,0.0797521549782531,0.200268213669378
500,1,"IPCW-TMLE-MI",0.13575714706527,0.0740847474692017,0.197429546661338
500,1,"raking",0.151532424950474,0.0815893893156438,0.221475460585304
500,2,"IPCW-TMLE",0.130702106554907,0.0151551766450312,0.246249036464782
500,2,"IPCW-TMLE-SL",0.145603695962452,0.0601488193752445,0.23105857254966
500,2,"IPCW-TMLE-MI",0.145521965496188,0.0584083199421695,0.232635611050207
500,2,"raking",0.121082140749152,0.0476554313287294,0.194508850169574
500,3,"IPCW-TMLE",0.0933660796824359,-0.00869426246402946,0.195426421828901
500,3,"IPCW-TMLE-SL",0.0953042765339212,0.025340444250351,0.165268108817491
500,3,"IPCW-TMLE-MI",0.0919113204339717,0.0186979257386844,0.165124715129259
500,3,"raking",0.133641754490569,0.0594730498233313,0.207810459157806
500,4,"IPCW-TMLE",0.050212498950207,-0.0594309193557062,0.15985591725612
500,4,"IPCW-TMLE-SL",0.0417471498214753,-0.037239082940007,0.120733382582958
500,4,"IPCW-TMLE-MI",0.0486516712094889,-0.0382677924979838,0.135571134916962
500,4,"raking",0.0877601905965013,-0.00126550122560758,0.17678588241861
500,5,"IPCW-TMLE",0.217842797347731,0.0825728108816281,0.353112783813833
500,5,"IPCW-TMLE-SL",0.234318501197422,0.120501242753964,0.348135759640879
500,5,"IPCW-TMLE-MI",0.227759791125681,0.102523013017304,0.352996569234058
500,5,"raking",0.0891846139270308,0.0172990804072311,0.16107014744683
500,6,"IPCW-TMLE",0.104888649707785,-0.00806429425834891,0.217841593673919
500,6,"IPCW-TMLE-SL",0.106454420811326,0.0277956505626922,0.18511319105996
500,6,"IPCW-TMLE-MI",0.106029534820341,0.022690422477113,0.189368647163569
500,6,"raking",0.0600784485760869,-0.0158322265268766,0.13598912367905
500,7,"IPCW-TMLE",0.0511396039057633,-0.0513189579436021,0.153598165755129
500,7,"IPCW-TMLE-SL",0.0746299331617932,0.00746420060183914,0.141795665721747
500,7,"IPCW-TMLE-MI",0.0763703518462903,0.00879268290886766,0.143948020783713
500,7,"raking",0.0712082910714818,-0.00101660022461995,0.143433182367584
500,8,"IPCW-TMLE",0.103144888765378,-0.0111140489683898,0.217403826499146
500,8,"IPCW-TMLE-SL",0.0953757118086761,0.0226309428120197,0.168120480805332
500,8,"IPCW-TMLE-MI",0.0978035482425016,0.0175173152163921,0.178089781268611
500,8,"raking",0.139501269955894,0.0686763373818799,0.210326202529908
500,9,"IPCW-TMLE",0.101903825605021,-0.00553578391802062,0.209343435128062
500,9,"IPCW-TMLE-SL",0.0968107139007672,0.0231117409597995,0.170509686841735
500,9,"IPCW-TMLE-MI",0.0972990801826478,0.021421078394357,0.173177081970939
500,9,"raking",0.138520140509436,0.0731377534252771,0.203902527593595
500,10,"IPCW-TMLE",0.0903904810808399,-0.0288260126347244,0.209606974796404
500,10,"IPCW-TMLE-SL",0.103621160785926,0.0163857553116358,0.190856566260216
500,10,"IPCW-TMLE-MI",0.111232324786234,0.0211313469305045,0.201333302641964
500,10,"raking",0.136014294253502,0.0618621622667108,0.210166426240293
500,11,"IPCW-TMLE",0.0984556760056984,0.00104378171679645,0.1958675702946
500,11,"IPCW-TMLE-SL",0.0996319142271059,0.0297334740437424,0.169530354410469
500,11,"IPCW-TMLE-MI",0.101473465012389,0.0265243724018869,0.176422557622891
500,11,"raking",0.1240338149984,0.0540315530294021,0.194036076967398
500,12,"IPCW-TMLE",0.14276766384697,0.016491436087966,0.269043891605974
500,12,"IPCW-TMLE-SL",0.148276171324926,0.0685898182230217,0.22796252442683
500,12,"IPCW-TMLE-MI",0.150155654816538,0.0701578073693389,0.230153502263737
500,12,"raking",0.115646511559035,0.0479266150747018,0.183366408043368
500,13,"IPCW-TMLE",0.105869932861951,-0.0173859399081733,0.229125805632076
500,13,"IPCW-TMLE-SL",0.0985056162465294,0.0108718686694113,0.186139363823648
500,13,"IPCW-TMLE-MI",0.0997867862258438,0.00554320279551465,0.194030369656173
500,13,"raking",0.141694745848012,0.0665277729456351,0.216861718750389
500,14,"IPCW-TMLE",0.187988255888991,0.0793912153720678,0.296585296405914
500,14,"IPCW-TMLE-SL",0.188823912512413,0.121799729148357,0.255848095876468
500,14,"IPCW-TMLE-MI",0.191495866989676,0.124621899378118,0.258369834601234
500,14,"raking",0.178640789328726,0.105318914443793,0.251962664213658
500,15,"IPCW-TMLE",0.0703901043426718,-0.0259632842141237,0.166743492899467
500,15,"IPCW-TMLE-SL",0.0800612560531475,0.016021845048589,0.144100667057706
500,15,"IPCW-TMLE-MI",0.0808176323913471,0.011695389907465,0.149939874875229
500,15,"raking",0.108147564818629,0.0371365854101709,0.179158544227088
500,16,"IPCW-TMLE",0.229142745314644,0.118796468474559,0.33948902215473
500,16,"IPCW-TMLE-SL",0.209777135156453,0.141587991497806,0.2779662788151
500,16,"IPCW-TMLE-MI",0.20737827415536,0.140207642297822,0.274548906012897
500,16,"raking",0.117058719194335,0.0444286794912685,0.189688758897401
500,17,"IPCW-TMLE",0.0742712762628183,-0.0274672989765905,0.176009851502227
500,17,"IPCW-TMLE-SL",0.0617340114374184,-0.00873512950286201,0.132203152377699
500,17,"IPCW-TMLE-MI",0.0634035274862899,-0.012637422607704,0.139444477580284
500,17,"raking",0.0947151604873231,0.0267045318660859,0.16272578910856
500,18,"IPCW-TMLE",0.167639954984692,0.0572972527211948,0.277982657248189
500,18,"IPCW-TMLE-SL",0.168698082320436,0.0881143632972904,0.249281801343582
500,18,"IPCW-TMLE-MI",0.168979805646969,0.0879268154364372,0.250032795857501
500,18,"raking",0.165945871778088,0.0944943100068384,0.237397433549337
500,19,"IPCW-TMLE",0.0617211138193199,-0.0473345575666978,0.170776785205338
500,19,"IPCW-TMLE-SL",0.0468336811042025,-0.0295722999050223,0.123239662113427
500,19,"IPCW-TMLE-MI",0.0442923091352987,-0.0359230844353821,0.124507702705979
500,19,"raking",0.112904348650924,0.0295089659231546,0.196299731378694
500,20,"IPCW-TMLE",0.147959302767263,0.0543209914110735,0.241597614123453
500,20,"IPCW-TMLE-SL",0.151851269907771,0.0834328380300486,0.220269701785493
