"n","b","est_name","psi","lower","upper"
1000,1,"IPCW-TMLE",0.125587965633304,0.0579806876749247,0.193195243591684
1000,1,"IPCW-TMLE-target-Pi",0.133902107866296,0.0815756872366354,0.186228528495956
1000,2,"IPCW-TMLE",0.0377399648718234,-0.0434758994787869,0.118955829222434
1000,2,"IPCW-TMLE-target-Pi",0.0478915326552846,-0.00976872530193787,0.105551790612507
1000,3,"IPCW-TMLE",0.141866451337666,0.0576712259383031,0.226061676737028
1000,3,"IPCW-TMLE-target-Pi",0.144723696717091,0.0883767562764432,0.201070637157739
1000,4,"IPCW-TMLE",0.106810970609689,0.0359494161862951,0.177672525033083
1000,4,"IPCW-TMLE-target-Pi",0.0946780802555968,0.046353531771013,0.14300262874018
1000,5,"IPCW-TMLE",0.120166601268203,0.0449773814561853,0.195355821080221
1000,5,"IPCW-TMLE-target-Pi",0.151713885399314,0.0868937295059775,0.21653404129265
1000,6,"IPCW-TMLE",0.0690887036769341,-0.00058312765978491,0.138760535013653
1000,6,"IPCW-TMLE-target-Pi",0.100544657866288,0.0286099822826659,0.172479333449911
1000,7,"IPCW-TMLE",0.141572545379318,0.0707839111017031,0.212361179656934
1000,7,"IPCW-TMLE-target-Pi",0.13180429881864,0.0818169428558917,0.181791654781389
1000,8,"IPCW-TMLE",0.0736227800308655,0.00913293029344434,0.138112629768287
1000,8,"IPCW-TMLE-target-Pi",0.0920225107104441,0.0395559436270474,0.144489077793841
1000,9,"IPCW-TMLE",0.113157661031483,0.0442863043161064,0.18202901774686
1000,9,"IPCW-TMLE-target-Pi",0.0920308205637665,0.0371109790892514,0.146950662038282
1000,10,"IPCW-TMLE",0.0652446243877423,0.00356095242003637,0.126928296355448
1000,10,"IPCW-TMLE-target-Pi",0.0831786512278144,0.0362210246263519,0.130136277829277
1000,11,"IPCW-TMLE",0.146917184292779,0.0798513812440827,0.213982987341474
1000,11,"IPCW-TMLE-target-Pi",0.14727177231538,0.0950130673412074,0.199530477289552
1000,12,"IPCW-TMLE",0.157203413487985,0.0890647063256605,0.22534212065031
1000,12,"IPCW-TMLE-target-Pi",0.141179996841731,0.0905214795716145,0.191838514111848
1000,13,"IPCW-TMLE",0.101715617037945,0.0354917640511091,0.16793947002478
1000,13,"IPCW-TMLE-target-Pi",0.120330334163773,0.0678085979329183,0.172852070394628
1000,14,"IPCW-TMLE",0.219428863248139,0.129821255131849,0.309036471364429
1000,14,"IPCW-TMLE-target-Pi",0.205821416316238,0.138582022157735,0.27306081047474
1000,15,"IPCW-TMLE",0.167824269776115,0.085015781657921,0.250632757894309
1000,15,"IPCW-TMLE-target-Pi",0.158888484344777,0.102850232572306,0.214926736117247
1000,16,"IPCW-TMLE",0.121210785296764,0.050512086910469,0.191909483683059
1000,16,"IPCW-TMLE-target-Pi",0.127252175693473,0.073605411276959,0.180898940109986
1000,17,"IPCW-TMLE",0.171055309078673,0.0903078464508687,0.251802771706478
1000,17,"IPCW-TMLE-target-Pi",0.160304126921217,0.104743592291976,0.215864661550457
1000,18,"IPCW-TMLE",0.0984070490087567,0.0252983948943889,0.171515703123124
1000,18,"IPCW-TMLE-target-Pi",0.0749544461287673,0.0225528881531553,0.127356004104379
1000,19,"IPCW-TMLE",0.119582198240373,0.0416901441167486,0.197474252363998
1000,19,"IPCW-TMLE-target-Pi",0.129301732793931,0.0679445761544457,0.190658889433417
1000,20,"IPCW-TMLE",0.133947032720899,0.0537335783445995,0.214160487097199
1000,20,"IPCW-TMLE-target-Pi",0.143007273819291,0.0856916605237368,0.200322887114846
1000,21,"IPCW-TMLE",0.149669906233355,0.0692245472171387,0.23011526524957
1000,21,"IPCW-TMLE-target-Pi",0.14239697703542,0.0858191198197824,0.198974834251058
1000,22,"IPCW-TMLE",0.10308360221879,0.0038030895526259,0.202364114884955
1000,22,"IPCW-TMLE-target-Pi",0.0932627857278449,0.0313368302909214,0.155188741164768
1000,23,"IPCW-TMLE",0.0799156783366718,0.0172075888890207,0.142623767784323
1000,23,"IPCW-TMLE-target-Pi",0.0853462304788809,0.0402577121856727,0.130434748772089
1000,24,"IPCW-TMLE",0.051235203574118,-0.0150617996179179,0.117532206766154
1000,24,"IPCW-TMLE-target-Pi",0.0874668796348027,0.0245489577083605,0.150384801561245
1000,25,"IPCW-TMLE",0.167424423333736,0.0822558673162275,0.252592979351245
1000,25,"IPCW-TMLE-target-Pi",0.17050551219479,0.108601169712629,0.23240985467695
1000,26,"IPCW-TMLE",0.132266469125818,0.060218752363954,0.204314185887681
1000,26,"IPCW-TMLE-target-Pi",0.103815108404083,0.0475300165391264,0.16010020026904
1000,27,"IPCW-TMLE",0.101026817307274,0.0298466707048081,0.17220696390974
1000,27,"IPCW-TMLE-target-Pi",0.0931216422825547,0.0417717766213982,0.144471507943711
1000,28,"IPCW-TMLE",0.135316969553718,0.0606357505848414,0.209998188522594
1000,28,"IPCW-TMLE-target-Pi",0.10861442756811,0.0539368659845042,0.163291989151715
1000,29,"IPCW-TMLE",0.122025185431324,0.0520001102472367,0.192050260615412
1000,29,"IPCW-TMLE-target-Pi",0.101143371720614,0.0473613425914636,0.154925400849765
1000,30,"IPCW-TMLE",0.08945844607601,0.0202411026071098,0.15867578954491
1000,30,"IPCW-TMLE-target-Pi",0.0946221415866172,0.0419833073703476,0.147260975802887
1000,31,"IPCW-TMLE",0.125144623405674,0.0553478146989212,0.194941432112428
1000,31,"IPCW-TMLE-target-Pi",0.115316960498197,0.0613358756316466,0.169298045364748
1000,32,"IPCW-TMLE",0.107338251221896,0.0406235105555906,0.174052991888202
1000,32,"IPCW-TMLE-target-Pi",0.0773316015444871,0.0266459407019555,0.128017262387019
1000,33,"IPCW-TMLE",0.143137341543806,0.0657766890507763,0.220497994036836
1000,33,"IPCW-TMLE-target-Pi",0.133913745953051,0.0797942686169853,0.188033223289118
1000,34,"IPCW-TMLE",0.0930076097638364,0.0264787133783537,0.159536506149319
1000,34,"IPCW-TMLE-target-Pi",0.094805942389343,0.0453215991000498,0.144290285678636
1000,35,"IPCW-TMLE",0.15266246230926,0.0877839637967117,0.217540960821807
1000,35,"IPCW-TMLE-target-Pi",0.159379434457863,0.111583999332733,0.207174869582994
1000,36,"IPCW-TMLE",0.0503875820431273,-0.0164158463896639,0.117191010475919
1000,36,"IPCW-TMLE-target-Pi",0.0716783378306587,0.0174575259033573,0.12589914975796
1000,37,"IPCW-TMLE",0.106935784857574,0.0381962839942147,0.175675285720934
1000,37,"IPCW-TMLE-target-Pi",0.146419233855114,0.0895816272779033,0.203256840432325
1000,38,"IPCW-TMLE",0.102658111177284,0.0310179718988142,0.174298250455753
1000,38,"IPCW-TMLE-target-Pi",0.160144271134098,0.0760008481081088,0.244287694160087
1000,39,"IPCW-TMLE",0.0998069979487001,0.021545360993897,0.178068634903503
1000,39,"IPCW-TMLE-target-Pi",0.10999749767816,0.0537745865881356,0.166220408768185
1000,40,"IPCW-TMLE",0.0927562255680192,0.0304281638581584,0.15508428727788
1000,40,"IPCW-TMLE-target-Pi",0.105073392692965,0.0582764957462422,0.151870289639688
1000,41,"IPCW-TMLE",0.101917743156546,0.0328440630695311,0.17099142324356
1000,41,"IPCW-TMLE-target-Pi",0.135388310044133,0.0780627184898115,0.192713901598455
1000,42,"IPCW-TMLE",0.148392549325059,0.0831155160669473,0.213669582583171
1000,42,"IPCW-TMLE-target-Pi",0.152008454091751,0.103382029105773,0.20063487907773
1000,43,"IPCW-TMLE",0.112386887285465,0.0454452887179031,0.179328485853027
1000,43,"IPCW-TMLE-target-Pi",0.0983238271063333,0.0486573325761386,0.147990321636528
1000,44,"IPCW-TMLE",0.122997360227109,0.0521955577271888,0.19379916272703
1000,44,"IPCW-TMLE-target-Pi",0.134376979552649,0.0788919971977425,0.189861961907555
1000,45,"IPCW-TMLE",0.217749988547271,0.095234078499268,0.340265898595275
1000,45,"IPCW-TMLE-target-Pi",0.197486881117166,0.118880146090519,0.276093616143813
1000,46,"IPCW-TMLE",0.142049708305939,0.0624955185308305,0.221603898081047
