"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.023918956511208,-0.0315000775766129,0.0793379905990289,1,500
"ipcw-tmle-target-Pi-ver-0",0.015786748456035,-0.0555733156684567,0.0871468125805266,1,500
"raking",0.0495453226922298,-0.0247487761134381,0.123839421497898,1,500
"ipcw-tmle",0.0514565994905431,-0.0255060926786518,0.128419291659738,1,500
"ipcw-tmle-target-Pi-ver-0",0.0413197187585822,-0.0210811441309859,0.10372058164815,1,500
"raking",0.0214168807660125,-0.0453239054406996,0.0881576669727246,1,500
"ipcw-tmle",0.0151818587730945,-0.0355084664751642,0.0658721840213531,1,1000
"ipcw-tmle-target-Pi-ver-0",0.014719204009746,-0.0334711042290968,0.0629095122485888,1,1000
"raking",0.0143263400323901,-0.0188255677745181,0.0474782478392983,1,1000
"ipcw-tmle",-0.0186557952423693,-0.0486718167649027,0.0113602262801641,1,1000
"ipcw-tmle-target-Pi-ver-0",-0.0166438756654349,-0.0403532019293407,0.00706545059847093,1,1000
"raking",-0.00263603913946317,-0.0383339792632905,0.0330619009843641,1,1000
"ipcw-tmle",-0.0254914637450349,-0.0557137307347763,0.00473080324470646,1,1500
"ipcw-tmle-target-Pi-ver-0",-0.0105157084670219,-0.056537634301772,0.0355062173677282,1,1500
"raking",0.0138668365678584,-0.0157453471915744,0.0434790203272912,1,1500
"ipcw-tmle",0.057165881390842,-0.0244204905111759,0.13875225329286,1,1500
"ipcw-tmle-target-Pi-ver-0",0.0188923091158234,-0.0438639975954734,0.0816486158271202,1,1500
"raking",0.0154297469243498,-0.0107925893889887,0.0416520832376883,1,1500
"ipcw-tmle",-0.00827328242754521,-0.0307486396691162,0.0142020748140258,1,2000
"ipcw-tmle-target-Pi-ver-0",0.000241153802432045,-0.0293475551648873,0.0298298627697514,1,2000
"raking",0.0098474667296723,-0.0132446059558296,0.0329395394151742,1,2000
"ipcw-tmle",0.0209692352348165,-0.0233773161213671,0.0653157865910001,1,2000
"ipcw-tmle-target-Pi-ver-0",0.0116738463620979,-0.0163682485300529,0.0397159412542486,1,2000
"raking",0.0140424442256083,-0.0115236765997455,0.0396085650509621,1,2000
