"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00323537817371379,-0.0492007108397897,0.0556714671872173,1,500
"ipcw-tmle-plugin-ver-0",0.000563781543370157,-0.0408653629889081,0.0419929260756484,1,500
"raking",-0.000686289032672096,-0.0359604543913875,0.0345878763260433,1,500
"ipcw-tmle",-0.0491512887693657,-0.104291186186024,0.00598860864729264,1,500
"ipcw-tmle-plugin-ver-0",-0.0139156012165945,-0.0594125029549448,0.0315813005217558,1,500
"raking",-0.0249994053277178,-0.0695578021944918,0.0195589915390562,1,500
"ipcw-tmle",-0.000990183828791208,-0.0512026836336528,0.0492223159760704,1,500
"ipcw-tmle-plugin-ver-0",0.00661856940692621,-0.031529813274378,0.0447669520882305,1,500
"raking",0.00414563589453971,-0.0342651233447652,0.0425563951338446,1,500
"ipcw-tmle",0.0177029920284889,-0.0428497696486954,0.0782557537056731,1,500
"ipcw-tmle-plugin-ver-0",0.0338705168040773,-0.013976781442432,0.0817178150505866,1,500
"raking",0.0381735590892292,-0.0135942785902532,0.0899413967687116,1,500
"ipcw-tmle",0.0329413110925458,-0.0220820567667805,0.0879646789518721,1,500
"ipcw-tmle-plugin-ver-0",0.00986278512585,-0.0292373600670469,0.0489629303187469,1,500
"raking",0.00898674005312579,-0.0303662671478565,0.0483397472541081,1,500
"ipcw-tmle",-0.0206348647556946,-0.0821717947325248,0.0409020652211355,1,500
"ipcw-tmle-plugin-ver-0",-0.0274743777718897,-0.066381970399755,0.0114332148559756,1,500
"raking",-0.01075358022733,-0.0475726849638192,0.0260655245091591,1,500
"ipcw-tmle",-0.00963057008084909,-0.0628618810346864,0.0436007408729882,1,500
"ipcw-tmle-plugin-ver-0",0.0117466160514214,-0.0320815232596013,0.055574755362444,1,500
"raking",0.0103014794395553,-0.0349176528598253,0.0555206117389359,1,500
"ipcw-tmle",-0.0096398968446032,-0.0513386759098597,0.0320588822206533,1,500
"ipcw-tmle-plugin-ver-0",0.00165153649754903,-0.0374234607461047,0.0407265337412028,1,500
"raking",0.00310800993055506,-0.0351656294933917,0.0413816493545019,1,500
"ipcw-tmle",0.0132070295277402,-0.0360825494370027,0.0624966084924831,1,500
"ipcw-tmle-plugin-ver-0",0.00122581476849006,-0.0371705648502071,0.0396221943871872,1,500
"raking",0.00135525281106276,-0.0358824500762382,0.0385929556983638,1,500
"ipcw-tmle",0.0146981222238433,-0.0427311174797387,0.0721273619274253,1,500
"ipcw-tmle-plugin-ver-0",0.0397291900162485,-0.00884997940674957,0.0883083594392466,1,500
"raking",0.0260828204373132,-0.016640843694596,0.0688064845692223,1,500
"ipcw-tmle",-0.0201155848510014,-0.0837241644809347,0.043492994778932,1,500
"ipcw-tmle-plugin-ver-0",0.00359101133945393,-0.0411614939905833,0.0483435166694911,1,500
"raking",0.00451308936344153,-0.0340171815213111,0.0430433602481942,1,500
"ipcw-tmle",-0.000831486765944908,-0.0412777850137828,0.039614811481893,1,500
"ipcw-tmle-plugin-ver-0",-0.0178029748605945,-0.0516140081001942,0.0160080583790052,1,500
"raking",-0.00556587266574809,-0.0323031203946063,0.0211713750631101,1,500
"ipcw-tmle",0.0113047050268066,-0.033860323581242,0.0564697336348553,1,500
"ipcw-tmle-plugin-ver-0",0.00525773894563205,-0.0336345412414293,0.0441500191326934,1,500
"raking",0.0104530252312268,-0.0211725974359473,0.0420786478984008,1,500
"ipcw-tmle",0.0943966220286963,0.00445007789631478,0.184343166161078,1,500
"ipcw-tmle-plugin-ver-0",0.0624913300976867,0.0128421411358834,0.11214051905949,1,500
"raking",0.0512723046365586,0.00480574894109732,0.0977388603320199,1,500
"ipcw-tmle",-0.026642931022085,-0.0763559190190474,0.0230700569748775,1,500
"ipcw-tmle-plugin-ver-0",-0.0327790778190008,-0.0663396684136301,0.000781512775628636,1,500
"raking",-0.0231114726282409,-0.0545397830349189,0.00831683777843711,1,500
"ipcw-tmle",-0.034104293779998,-0.0694156326484397,0.00120704508844363,1,500
"ipcw-tmle-plugin-ver-0",-0.0244113309036274,-0.057721848814092,0.00889918700683712,1,500
"raking",-0.029028828202104,-0.0637046755413115,0.00564701913710357,1,500
"ipcw-tmle",-0.022502336464292,-0.0697492259269338,0.0247445529983497,1,500
"ipcw-tmle-plugin-ver-0",-0.0167090792667837,-0.0582301215283474,0.0248119629947799,1,500
"raking",-0.0157361364296554,-0.0608700068248278,0.0293977339655171,1,500
"ipcw-tmle",0.0463807496972974,-0.0699586608588154,0.16272016025341,1,500
"ipcw-tmle-plugin-ver-0",0.0073033365970972,-0.0369376393559159,0.0515443125501103,1,500
"raking",-0.00432030587944239,-0.055402425255873,0.0467618134969883,1,500
"ipcw-tmle",0.0460875905162701,-0.00209249593065158,0.0942676769631919,1,500
"ipcw-tmle-plugin-ver-0",0.0198044582336272,-0.0175369407014707,0.0571458571687251,1,500
"raking",0.0162644146672767,-0.0151476392628483,0.0476764685974018,1,500
"ipcw-tmle",0.00803370817615433,-0.0432595081137928,0.0593269244661015,1,500
