"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.023918956511208,-0.0315000775766129,0.079337990599029,1,500
"ipcw-tmle-target-Pi-ver-0",0.0157915211392569,-0.0555415550602926,0.0871245973388064,1,500
"raking",0.0428252315652505,-0.0247882490357176,0.110438712166219,1,500
"ipcw-tmle",-0.0170336936699535,-0.0587925806568611,0.0247251933169541,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0204265158456821,-0.0529115907859666,0.0120585590946025,1,500
"raking",0.0239858758391518,-0.0241155623690723,0.072087314047376,1,500
"ipcw-tmle",0.0188926733746172,-0.035557399006633,0.0733427457558674,1,500
"ipcw-tmle-target-Pi-ver-0",0.0168437793455781,-0.0233099650841006,0.0569975237752568,1,500
"raking",0.0186475091838611,-0.0347908176361266,0.0720858360038487,1,500
"ipcw-tmle",0.026176069424217,-0.0610379893095321,0.113390128157966,1,500
"ipcw-tmle-target-Pi-ver-0",0.0192825554187512,-0.0329344114464659,0.0714995222839683,1,500
"raking",-0.00544985051760195,-0.0528330824823059,0.041933381447102,1,500
"ipcw-tmle",0.0302642906907573,-0.0456600820944371,0.106188663475952,1,500
"ipcw-tmle-target-Pi-ver-0",0.0275442825592349,-0.0481573626140053,0.103245927732475,1,500
"raking",0.0104090021401676,-0.0302025952242696,0.0510205995046047,1,500
"ipcw-tmle",-0.0348925386516759,-0.0799328509538427,0.0101477736504908,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0426475225777841,-0.0801170784175985,-0.00517796673796973,1,500
"raking",-0.0214824517491949,-0.0674337820897811,0.0244688785913913,1,500
"ipcw-tmle",0.00579465594582387,-0.0620105214440124,0.0735998333356602,1,500
"ipcw-tmle-target-Pi-ver-0",0.0144165196858775,-0.0494568719618906,0.0782899113336455,1,500
"raking",0.0400188672653666,-0.0116186701911927,0.091656404721926,1,500
"ipcw-tmle",0.0493017204963404,-0.0192407548318552,0.117844195824536,1,500
"ipcw-tmle-target-Pi-ver-0",0.0393140120385063,-0.0058792921325012,0.0845073162095138,1,500
"raking",0.0360511130408898,-0.0120983507489422,0.0842005768307217,1,500
"ipcw-tmle",-0.029314578303429,-0.068281111859348,0.00965195525249003,1,500
"ipcw-tmle-target-Pi-ver-0",-0.026972505188959,-0.0584828824480471,0.00453787207012907,1,500
"raking",0.000490612101335353,-0.057057783763597,0.0580390079662677,1,500
"ipcw-tmle",0.018643094672775,-0.0235258753932634,0.0608120647388135,1,500
"ipcw-tmle-target-Pi-ver-0",0.0170374429694588,-0.0151329821632427,0.0492078681021603,1,500
"raking",-0.000575574917163758,-0.0325036351333976,0.03135248529907,1,500
"ipcw-tmle",0.0425089418646803,-0.0353829096532247,0.120400793382585,1,500
"ipcw-tmle-target-Pi-ver-0",0.0385118803540253,-0.0237476405771909,0.100771401285242,1,500
"raking",0.035003182588668,-0.0113502186038439,0.0813565837811799,1,500
"ipcw-tmle",0.00322858030063923,-0.0319451541908225,0.038402314792101,1,500
"ipcw-tmle-target-Pi-ver-0",-0.00896848454032054,-0.0881290482444983,0.0701920791638572,1,500
"raking",-0.000869542889199828,-0.0417494666898903,0.0400103809114906,1,500
"ipcw-tmle",0.0157809435154453,-0.0772466663804457,0.108808553411336,1,500
"ipcw-tmle-target-Pi-ver-0",0.045392499969206,-0.136982222873724,0.227767222812136,1,500
"raking",0.0460488370741573,-0.00226550868081631,0.0943631828291309,1,500
"ipcw-tmle",0.194159489264361,0.0964072792578779,0.291911699270845,1,500
"ipcw-tmle-target-Pi-ver-0",0.171620546393683,0.0960301473782074,0.247210945409158,1,500
"raking",0.085597234194149,0.0143881602793638,0.156806308108934,1,500
"ipcw-tmle",0.0819426632929222,-0.0589136776403948,0.222799004226239,1,500
"ipcw-tmle-target-Pi-ver-0",0.153275777404281,-0.745705503155761,1.05225705796432,1,500
"raking",0.0460971379430791,-0.0087178895206014,0.10091216540676,1,500
"ipcw-tmle",0.053133629775533,-0.0140740516739945,0.120341311225061,1,500
"ipcw-tmle-target-Pi-ver-0",0.0543422938577833,-0.00503008599922235,0.113714673714789,1,500
"raking",0.0380998781622365,-0.0143156371663998,0.0905153934908727,1,500
"ipcw-tmle",-0.0167687425361917,-0.0639683675348935,0.03043088246251,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0139378598632236,-0.0516745286054677,0.0237988088790204,1,500
"raking",0.0236615835360009,-0.0330378248248805,0.0803609918968823,1,500
"ipcw-tmle",-0.00452215936429284,-0.0599663655285001,0.0509220467999144,1,500
"ipcw-tmle-target-Pi-ver-0",-0.00522807785040409,-0.051991178149488,0.0415350224486798,1,500
"raking",0.00250023603979624,-0.0385779453603712,0.0435784174399637,1,500
"ipcw-tmle",0.0156457569475713,-0.0190118757814139,0.0503033896765564,1,500
"ipcw-tmle-target-Pi-ver-0",0.00157718606926432,-0.078239596051979,0.0813939681905076,1,500
"raking",0.0176091548737998,-0.0205376988721857,0.0557560086197854,1,500
"ipcw-tmle",0.0668404863400846,-0.0145875689815218,0.148268541661691,1,500
"ipcw-tmle-target-Pi-ver-0",0.0594463360593546,-0.0156679964516181,0.134560668570327,1,500
"raking",0.0530041172949921,-0.0257071611098977,0.131715395699882,1,500
"ipcw-tmle",0.0913578277549019,-0.0481237855392518,0.230839441049056,1,500
"ipcw-tmle-target-Pi-ver-0",0.0749328413989697,-0.00381842202155902,0.153684104819498,1,500
"raking",0.0619484140892348,-0.00876053883950367,0.132657367017973,1,500
"ipcw-tmle",0.00201914129536859,-0.0645384469785244,0.0685767295692616,1,500
"ipcw-tmle-target-Pi-ver-0",-0.00267555577672798,-0.0501969772398219,0.0448458656863659,1,500
"raking",-0.00255589869936852,-0.0526570867395611,0.0475452893408241,1,500
"ipcw-tmle",-0.00971377796659479,-0.0846731174413666,0.0652455615081771,1,500
"ipcw-tmle-target-Pi-ver-0",0.00464702113633361,-0.0807761064019523,0.0900701486746195,1,500
"raking",-0.0109369770692031,-0.0668434628361742,0.0449695086977679,1,500
"ipcw-tmle",0.0433543818170275,-0.00701088207763978,0.0937196457116947,1,500
"ipcw-tmle-target-Pi-ver-0",0.0587255865961729,-0.105706945765696,0.223158118958042,1,500
"raking",0.0443215306786862,-0.0049484561757555,0.0935915175331279,1,500
"ipcw-tmle",-0.017025200740258,-0.054039568851827,0.019989167371311,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0256509698488194,-0.0683002067766076,0.0169982670789688,1,500
"raking",-0.017674830394478,-0.0545716179001201,0.019221957111164,1,500
"ipcw-tmle",-0.0272754204292254,-0.0707940366124867,0.0162431957540358,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0176948012378151,-0.0583570491197337,0.0229674466441034,1,500
"raking",-0.0153882168439108,-0.0495392497069612,0.0187628160191395,1,500
"ipcw-tmle",-0.00605797000088468,-0.0892728777104567,0.0771569377086873,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0237933878569497,-0.0690852394168621,0.0214984637029627,1,500
"raking",-0.0301720249660433,-0.0822103233911166,0.02186627345903,1,500
"ipcw-tmle",0.017728475218194,-0.0394055683261228,0.0748625187625108,1,500
"ipcw-tmle-target-Pi-ver-0",0.0116384399820516,-0.0435134742724547,0.0667903542365579,1,500
"raking",0.0516083268539703,-0.0206165685045957,0.123833222212536,1,500
"ipcw-tmle",0.0193483249163732,-0.0293431773668234,0.0680398271995697,1,500
"ipcw-tmle-target-Pi-ver-0",0.0270567087096547,-0.0192340943998829,0.0733475118191923,1,500
"raking",0.0246734743955969,-0.0163840920144649,0.0657310408056587,1,500
"ipcw-tmle",-0.0239188118472574,-0.0782146632935278,0.0303770395990131,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0234345026183969,-0.0652419095489013,0.0183729043121076,1,500
"raking",-0.0168827707596735,-0.0580832306311168,0.0243176891117698,1,500
"ipcw-tmle",-0.0227822487178076,-0.104363270809561,0.0587987733739458,1,500
"ipcw-tmle-target-Pi-ver-0",-0.00840584042881388,-0.086845296031124,0.0700336151734962,1,500
"raking",0.0195047151715505,-0.0727178889489237,0.111727319292025,1,500
"ipcw-tmle",0.00345352437854939,-0.037135457639655,0.0440425063967538,1,500
"ipcw-tmle-target-Pi-ver-0",-0.00132526235972575,-0.0420425149129265,0.039391990193475,1,500
"raking",-8.45979934038418e-05,-0.0310395817123663,0.0308703857255586,1,500
"ipcw-tmle",-0.0449224859429772,-0.0854989254094654,-0.00434604647648906,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0321791914418011,-0.0577918247835046,-0.00656655810009768,1,500
"raking",-0.00828732378308126,-0.0384100237873293,0.0218353762211668,1,500
"ipcw-tmle",-0.0219742894468795,-0.0740877941289107,0.0301392152351516,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0350232838044198,-0.086562962624259,0.0165163950154193,1,500
"raking",-0.00301525355404018,-0.0478935073955549,0.0418630002874745,1,500
"ipcw-tmle",0.0324867018314043,-0.0238561840119626,0.0888295876747711,1,500
"ipcw-tmle-target-Pi-ver-0",0.0164839140743431,-0.0507909963404421,0.0837588244891282,1,500
"raking",0.0544805852470165,-0.008212856658686,0.117174027152719,1,500
"ipcw-tmle",-0.0024313278216289,-0.0636295290587602,0.0587668734155024,1,500
"ipcw-tmle-target-Pi-ver-0",-0.0164893808585098,-0.0673522281244574,0.0343734664074377,1,500
"raking",-0.0199474363398442,-0.0670189503695138,0.0271240776898254,1,500
"ipcw-tmle",0.0691846651702435,-0.0438345586200694,0.182203888960556,1,500
"ipcw-tmle-target-Pi-ver-0",0.0718318730352286,-0.0333477429909779,0.177011489061435,1,500
"raking",0.0294046441386356,-0.0175115577446127,0.0763208460218838,1,500
"ipcw-tmle",0.0529907829856876,-0.0469827368162298,0.152964302787605,1,500
"ipcw-tmle-target-Pi-ver-0",0.0681750227620291,-0.0326623735937754,0.169012419117834,1,500
"raking",-0.00249584673786756,-0.0533378829612399,0.0483461894855047,1,500
"ipcw-tmle",0.0919108292333697,-0.0284020277480023,0.212223686214742,1,500
"ipcw-tmle-target-Pi-ver-0",0.113276011293775,0.0170416992423411,0.209510323345209,1,500
"raking",0.0130958820597935,-0.0762370372570066,0.102428801376594,1,500
