"n","b","est","psi","lower","upper","mc_id"
500,1,"ipcw-tmle",0.102404694389111,0.0237545606965401,0.181054828081681,1
500,1,"plugin-tmle",0.0574972447643805,-0.0133518822969316,0.128346371825693,1
500,2,"ipcw-tmle",0.142555860071801,0.00201262991218387,0.283099090231419,2
500,2,"plugin-tmle",0.105165157482614,-0.0203322620088989,0.230662576974127,2
500,3,"ipcw-tmle",0.0590075562380477,-0.0179915406409171,0.136006653117012,3
500,3,"plugin-tmle",0.0560602047714312,-0.0462144238589216,0.158334833401784,3
500,4,"ipcw-tmle",0.0402096974638999,-0.0411876066736659,0.121607001601466,4
500,4,"plugin-tmle",0.0490895726770213,-0.0222818256894001,0.120460971043443,4
500,5,"ipcw-tmle",-0.0485247087898549,-0.102312256763377,0.00526283918366745,5
500,5,"plugin-tmle",-0.046759058688855,-0.105824485391346,0.0123063680136362,5
500,6,"ipcw-tmle",0.0237132284115358,-0.0554782273588425,0.102904684181914,6
500,6,"plugin-tmle",0.0148479275678269,-0.0646450854140964,0.0943409405497503,6
500,7,"ipcw-tmle",0.0495150116892422,-0.035562672615438,0.134592695993922,7
500,7,"plugin-tmle",0.08048223034588,0.0188893677757469,0.142075092916013,7
500,8,"ipcw-tmle",-0.00951871643591508,-0.0627762902651044,0.0437388573932742,8
500,8,"plugin-tmle",0.0153650765327381,-0.0381669543091504,0.0688971073746266,8
500,9,"ipcw-tmle",0.00726924448821668,-0.0702922145867332,0.0848307035631665,9
500,9,"plugin-tmle",-0.00569011749008662,-0.0955427085532212,0.084162473573048,9
500,10,"ipcw-tmle",0.0687799168612305,-0.00885525575832342,0.146415089480784,10
500,10,"plugin-tmle",0.0579863994107027,-0.01802559649155,0.133998395312956,10
500,11,"ipcw-tmle",-0.0253773883293623,-0.0913876989469893,0.0406329222882647,11
500,11,"plugin-tmle",-0.0338345112117374,-0.0966729168420209,0.0290038944185461,11
500,12,"ipcw-tmle",0.0188061076247253,-0.0477279295911152,0.0853401448405657,12
500,12,"plugin-tmle",0.0157403724543551,-0.0528100482950274,0.0842907932037376,12
500,13,"ipcw-tmle",0.118736963951174,0.0387656245281631,0.198708303374185,13
500,13,"plugin-tmle",0.125760952744763,0.0580377952525817,0.193484110236945,13
500,14,"ipcw-tmle",-0.0054865645291885,-0.089255478933058,0.078282349874681,14
500,14,"plugin-tmle",0.0183817400410037,-0.0985097075523161,0.135273187634323,14
500,15,"ipcw-tmle",0.0132428937624928,-0.0645357524766881,0.0910215400016738,15
500,15,"plugin-tmle",0.0191431085542542,-0.0440785422495312,0.0823647593580396,15
500,16,"ipcw-tmle",-0.00242509350572709,-0.123046966592277,0.118196779580823,16
500,16,"plugin-tmle",-0.00135289523753932,-0.0765421071306552,0.0738363166555765,16
500,17,"ipcw-tmle",0.0784299256617749,0.00804196907556801,0.148817882247982,17
500,17,"plugin-tmle",0.078796394198731,0.00720433012122984,0.150388458276232,17
500,18,"ipcw-tmle",0.0595841284109006,-0.0109022571609691,0.13007051398277,18
500,18,"plugin-tmle",0.0200734975454278,-0.034539475880655,0.0746864709715106,18
500,19,"ipcw-tmle",0.0700947707799228,-0.0395301302467747,0.17971967180662,19
500,19,"plugin-tmle",0.0274478097128781,-0.065279247569807,0.120174866995563,19
500,20,"ipcw-tmle",0.122538651654603,0.0449651431269261,0.200112160182281,20
500,20,"plugin-tmle",0.145941793066374,0.0678975483559318,0.223986037776816,20
500,21,"ipcw-tmle",-0.0487349595401383,-0.113626328681072,0.0161564096007957,21
500,21,"plugin-tmle",-0.0343522876459833,-0.110995518461048,0.0422909431690812,21
500,22,"ipcw-tmle",0.0794629808126846,0.00797119104192194,0.150954770583447,22
500,22,"plugin-tmle",0.0523739195145415,-0.0181042646101379,0.122852103639221,22
500,23,"ipcw-tmle",0.123224107547931,0.024841000279031,0.22160721481683,23
500,23,"plugin-tmle",0.0950908974908178,0.0276165155143777,0.162565279467258,23
500,24,"ipcw-tmle",0.068206666113889,-0.00671084145923911,0.143124173687017,24
500,24,"plugin-tmle",0.0723451414902609,-6.99509769038903e-05,0.144760233957426,24
500,25,"ipcw-tmle",-0.00424395078802088,-0.0721693680046022,0.0636814664285605,25
500,25,"plugin-tmle",-0.00253766934652301,-0.0637241765204406,0.0586488378273946,25
500,26,"ipcw-tmle",0.0710816010242918,0.00401667445547266,0.138146527593111,26
500,26,"plugin-tmle",0.0691617563991206,0.00832444893856092,0.12999906385968,26
500,27,"ipcw-tmle",0.0432663887055781,-0.011162854999965,0.0976956324111212,27
500,27,"plugin-tmle",0.0766351848490176,0.023961453383753,0.129308916314282,27
500,28,"ipcw-tmle",0.0408579455285544,-0.041491985072841,0.12320787612995,28
500,28,"plugin-tmle",0.0444494270869066,-0.0234238072372483,0.112322661411062,28
500,29,"ipcw-tmle",0.0404301152927032,-0.0324645387964245,0.113324769381831,29
500,29,"plugin-tmle",0.0330063682642652,-0.0316330714671055,0.0976458079956359,29
500,30,"ipcw-tmle",0.0257965933923832,-0.0707399272243807,0.122333114009147,30
500,30,"plugin-tmle",0.0231912259819289,-0.0589302007944837,0.105312652758342,30
500,31,"ipcw-tmle",0.0662083700362241,-0.0182875722373245,0.150704312309773,31
500,31,"plugin-tmle",0.0783083648733435,-0.055060910127086,0.211677639873773,31
500,32,"ipcw-tmle",0.139360264268945,0.0342632948675488,0.244457233670341,32
500,32,"plugin-tmle",0.0758045596393298,-0.045923922357447,0.197533041636107,32
500,33,"ipcw-tmle",0.046348905471457,-0.0309943912977468,0.123692202240661,33
500,33,"plugin-tmle",0.0498574239668394,-0.0236909642956761,0.123405812229355,33
500,34,"ipcw-tmle",0.108863457919553,-0.0329414679502032,0.250668383789309,34
500,34,"plugin-tmle",0.111423169632519,-0.105507018802124,0.328353358067161,34
500,35,"ipcw-tmle",-0.0355363237620448,-0.142626332719716,0.0715536851956269,35
500,35,"plugin-tmle",-0.00344865722111906,-0.124642295935638,0.1177449814934,35
500,36,"ipcw-tmle",0.104308536860847,0.0259822866940448,0.182634787027648,36
500,36,"plugin-tmle",0.110515576105103,0.0407540686120848,0.18027708359812,36
500,37,"ipcw-tmle",0.0200020896743878,-0.076230364898437,0.116234544247213,37
500,37,"plugin-tmle",0.0253915631139944,-0.0857476600527744,0.136530786280763,37
500,38,"ipcw-tmle",0.0287310423731129,-0.0423576139470022,0.099819698693228,38
500,38,"plugin-tmle",0.0377542596053025,-0.0151198849891157,0.0906284041997207,38
500,39,"ipcw-tmle",0.0872318550285904,-0.00738552670281574,0.181849236759996,39
500,39,"plugin-tmle",0.0963024255846573,0.00241293593362785,0.190191915235687,39
500,40,"ipcw-tmle",0.0744872306594164,0.00186407527309497,0.147110386045738,40
500,40,"plugin-tmle",0.0558526548695936,0.00460731635239502,0.107097993386792,40
500,41,"ipcw-tmle",0.0827388880446582,-0.0103688502126416,0.175846626301958,41
500,41,"plugin-tmle",0.0732969449869117,-0.0231620741487681,0.169755964122591,41
500,42,"ipcw-tmle",0.00504115478342133,-0.059017418856132,0.0690997284229747,42
500,42,"plugin-tmle",0.0141680361136925,-0.0391974087079592,0.0675334809353443,42
500,43,"ipcw-tmle",0.0342908753682169,-0.0514507385167847,0.120032489253219,43
500,43,"plugin-tmle",0.0182657534561918,-0.0696575007141919,0.106189007626575,43
500,44,"ipcw-tmle",0.0707595313784371,-0.0136088142651814,0.155127877022056,44
500,44,"plugin-tmle",0.0293955651235046,-0.0504826267804036,0.109273757027413,44
500,45,"ipcw-tmle",-0.0462569526314143,-0.103320930926678,0.0108070256638492,45
500,45,"plugin-tmle",-0.0421964889585216,-0.105527850654215,0.0211348727371722,45
500,46,"ipcw-tmle",0.00375147056553597,-0.0512803853022463,0.0587833264333183,46
500,46,"plugin-tmle",0.0076183474241171,-0.0454067787549127,0.0606434736031469,46
500,47,"ipcw-tmle",0.0954296233591974,0.00739130871069985,0.183467938007695,47
500,47,"plugin-tmle",0.076536345890799,-0.00363448733903793,0.156707179120636,47
500,48,"ipcw-tmle",-0.0157249111270469,-0.101591409821409,0.070141587567315,48
500,48,"plugin-tmle",0.0370604451197818,-0.0285824054895048,0.102703295729068,48
500,49,"ipcw-tmle",0.0508132583790752,-0.0389786872937854,0.140605204051936,49
500,49,"plugin-tmle",0.070098529546038,-0.00940157345994928,0.149598632552025,49
500,50,"ipcw-tmle",0.008871224056859,-0.0631041674835474,0.0808466155972654,50
500,50,"plugin-tmle",-0.00907736697351912,-0.0854919419292511,0.0673372079822128,50
500,51,"ipcw-tmle",0.00355156675212472,-0.0761364760484117,0.0832396095526612,51
500,51,"plugin-tmle",0.00439294587423237,-0.0523275296202382,0.0611134213687029,51
500,52,"ipcw-tmle",-0.0303863546224429,-0.0875907404015691,0.0268180311566833,52
500,52,"plugin-tmle",-0.0185591316449575,-0.068274603261894,0.0311563399719789,52
500,53,"ipcw-tmle",0.0674405519239083,-0.00664104383460892,0.141522147682426,53
500,53,"plugin-tmle",0.0515460141065358,-0.00346845602224015,0.106560484235312,53
500,54,"ipcw-tmle",-0.0280292748082966,-0.115296497838142,0.0592379482215488,54
500,54,"plugin-tmle",-0.0116336793245267,-0.105873126382043,0.0826057677329896,54
500,55,"ipcw-tmle",0.10010129094335,-0.0180646546106011,0.218267236497302,55
500,55,"plugin-tmle",0.109375174931389,-0.0283527224013132,0.247103072264092,55
500,56,"ipcw-tmle",0.0256788704784514,-0.0385111579333776,0.0898688988902805,56
500,56,"plugin-tmle",0.021878477426938,-0.0376018384602199,0.0813587933140959,56
500,57,"ipcw-tmle",0.0728276677723731,-0.0288044670301992,0.174459802574945,57
500,57,"plugin-tmle",0.0551822355677559,-0.045785971618785,0.156150442754297,57
500,58,"ipcw-tmle",0.129808669844883,-0.0138861948563886,0.273503534546154,58
500,58,"plugin-tmle",0.0892742914340047,-0.0262736617428147,0.204822244610824,58
500,59,"ipcw-tmle",0.0292653872211419,-0.0285264068586118,0.0870571813008955,59
500,59,"plugin-tmle",0.0137445830895593,-0.0383481905329701,0.0658373567120887,59
500,60,"ipcw-tmle",0.040820112914436,-0.0636851999359914,0.145325425764863,60
500,60,"plugin-tmle",0.0235965098668781,-0.0615059612503338,0.10869898098409,60
500,61,"ipcw-tmle",0.0726786193192193,-0.0488035267572809,0.19416076539572,61
500,61,"plugin-tmle",0.113049239706891,-0.00397606965739314,0.230074549071175,61
500,62,"ipcw-tmle",0.0461340050143275,-0.0399966401947613,0.132264650223416,62
500,62,"plugin-tmle",0.0445544863861496,-0.0409413493780774,0.130050322150377,62
500,63,"ipcw-tmle",0.0927960507984354,0.0177444242309104,0.16784767736596,63
