"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.023918956511208,-0.0315000775766129,0.079337990599029,1,500
"ipcw-tmle-target-Pi-ver-1",-0.00551186834952575,-0.251449149053242,0.240425412354191,1,500
"raking",0.0428252315652505,-0.0247882490357176,0.110438712166219,1,500
"ipcw-tmle",-0.0170336936699535,-0.0587925806568611,0.0247251933169541,1,500
"ipcw-tmle-target-Pi-ver-1",-0.0214009289449096,-0.0544346181167772,0.0116327602269579,1,500
"raking",0.0239858758391518,-0.0241155623690723,0.072087314047376,1,500
"ipcw-tmle",0.0188926733746172,-0.035557399006633,0.0733427457558674,1,500
"ipcw-tmle-target-Pi-ver-1",0.0163578655889972,-0.023553398748097,0.0562691299260915,1,500
"raking",0.0186475091838611,-0.0347908176361266,0.0720858360038487,1,500
"ipcw-tmle",0.026176069424217,-0.0610379893095321,0.113390128157966,1,500
"ipcw-tmle-target-Pi-ver-1",0.0189649365315206,-0.0326531521857281,0.0705830252487692,1,500
"raking",-0.00544985051760195,-0.0528330824823059,0.041933381447102,1,500
"ipcw-tmle",0.0302642906907573,-0.0456600820944371,0.106188663475952,1,500
"ipcw-tmle-target-Pi-ver-1",0.0274530453685974,-0.048177269766516,0.103083360503711,1,500
"raking",0.0104090021401676,-0.0302025952242696,0.0510205995046047,1,500
"ipcw-tmle",-0.0348925386516759,-0.0799328509538427,0.0101477736504908,1,500
"ipcw-tmle-target-Pi-ver-1",-0.0383169992957097,-0.0734168920690545,-0.00321710652236481,1,500
"raking",-0.0214824517491949,-0.0674337820897811,0.0244688785913913,1,500
"ipcw-tmle",0.00579465594582387,-0.0620105214440124,0.0735998333356602,1,500
"ipcw-tmle-target-Pi-ver-1",0.0329874226688323,-0.0405748439216008,0.106549689259265,1,500
"raking",0.0400188672653666,-0.0116186701911927,0.091656404721926,1,500
"ipcw-tmle",0.0493017204963404,-0.0192407548318552,0.117844195824536,1,500
"ipcw-tmle-target-Pi-ver-1",0.0418913695475473,-0.00340746902480813,0.0871902081199028,1,500
"raking",0.0360511130408898,-0.0120983507489422,0.0842005768307217,1,500
"ipcw-tmle",-0.029314578303429,-0.068281111859348,0.00965195525249003,1,500
"ipcw-tmle-target-Pi-ver-1",-0.0253342382650324,-0.0584960393980366,0.00782756286797191,1,500
"raking",0.000490612101335353,-0.057057783763597,0.0580390079662677,1,500
"ipcw-tmle",0.018643094672775,-0.0235258753932634,0.0608120647388135,1,500
"ipcw-tmle-target-Pi-ver-1",0.0180664623332256,-0.0145799009878176,0.0507128256542688,1,500
"raking",-0.000575574917163758,-0.0325036351333976,0.03135248529907,1,500
"ipcw-tmle",0.0425089418646803,-0.0353829096532247,0.120400793382585,1,500
"ipcw-tmle-target-Pi-ver-1",0.0396060905605448,-0.0242433209367518,0.103455502057841,1,500
"raking",0.035003182588668,-0.0113502186038439,0.0813565837811799,1,500
"ipcw-tmle",0.00322858030063923,-0.0319451541908225,0.038402314792101,1,500
"ipcw-tmle-target-Pi-ver-1",-0.00154740196193561,-0.0361600765910177,0.0330652726671464,1,500
"raking",-0.000869542889199828,-0.0417494666898903,0.0400103809114906,1,500
"ipcw-tmle",0.0157809435154453,-0.0772466663804457,0.108808553411336,1,500
"ipcw-tmle-target-Pi-ver-1",0.0615186957241856,-0.116219212812756,0.239256604261127,1,500
"raking",0.0460488370741573,-0.00226550868081631,0.0943631828291309,1,500
"ipcw-tmle",0.194159489264361,0.0964072792578779,0.291911699270845,1,500
"ipcw-tmle-target-Pi-ver-1",0.15168225136596,0.077062741251121,0.226301761480798,1,500
"raking",0.085597234194149,0.0143881602793638,0.156806308108934,1,500
"ipcw-tmle",0.0819426632929222,-0.0589136776403948,0.222799004226239,1,500
"ipcw-tmle-target-Pi-ver-1",0.175495758429953,-1.11742789261117,1.46841940947108,1,500
"raking",0.0460971379430791,-0.0087178895206014,0.10091216540676,1,500
"ipcw-tmle",0.053133629775533,-0.0140740516739945,0.120341311225061,1,500
"ipcw-tmle-target-Pi-ver-1",0.0538113481558085,-0.00570547790614651,0.113328174217764,1,500
"raking",0.0380998781622365,-0.0143156371663998,0.0905153934908727,1,500
"ipcw-tmle",-0.0167687425361917,-0.0639683675348935,0.03043088246251,1,500
"ipcw-tmle-target-Pi-ver-1",-0.0151621933508801,-0.0535999993066884,0.0232756126049283,1,500
"raking",0.0236615835360009,-0.0330378248248805,0.0803609918968823,1,500
"ipcw-tmle",-0.00452215936429284,-0.0599663655285001,0.0509220467999144,1,500
"ipcw-tmle-target-Pi-ver-1",-0.00511161467809798,-0.0518262107312234,0.0416029813750274,1,500
"raking",0.00250023603979624,-0.0385779453603712,0.0435784174399637,1,500
"ipcw-tmle",0.0156457569475713,-0.0190118757814139,0.0503033896765564,1,500
"ipcw-tmle-target-Pi-ver-1",0.010315591900621,-0.0190995810002564,0.0397307648014985,1,500
"raking",0.0176091548737998,-0.0205376988721857,0.0557560086197854,1,500
"ipcw-tmle",0.0668404863400846,-0.0145875689815218,0.148268541661691,1,500
"ipcw-tmle-target-Pi-ver-1",0.0643548399957953,-0.00349572257999127,0.132205402571582,1,500
"raking",0.0530041172949921,-0.0257071611098977,0.131715395699882,1,500
"ipcw-tmle",0.0913578277549019,-0.0481237855392518,0.230839441049056,1,500
"ipcw-tmle-target-Pi-ver-1",0.0536491174809259,-0.0205244199380449,0.127822654899897,1,500
"raking",0.0619484140892348,-0.00876053883950367,0.132657367017973,1,500
"ipcw-tmle",0.00201914129536859,-0.0645384469785244,0.0685767295692616,1,500
"ipcw-tmle-target-Pi-ver-1",-0.00572006809295228,-0.0532830287722609,0.0418428925863563,1,500
"raking",-0.00255589869936852,-0.0526570867395611,0.0475452893408241,1,500
"ipcw-tmle",-0.00971377796659479,-0.0846731174413666,0.0652455615081771,1,500
"ipcw-tmle-target-Pi-ver-1",0.0144734413247739,-0.0778309908208931,0.106777873470441,1,500
"raking",-0.0109369770692031,-0.0668434628361742,0.0449695086977679,1,500
"ipcw-tmle",0.0433543818170275,-0.00701088207763978,0.0937196457116947,1,500
"ipcw-tmle-target-Pi-ver-1",0.0573875372637671,-0.0621585836201095,0.176933658147644,1,500
"raking",0.0443215306786862,-0.0049484561757555,0.0935915175331279,1,500
"ipcw-tmle",-0.017025200740258,-0.054039568851827,0.019989167371311,1,500
"ipcw-tmle-target-Pi-ver-1",-0.0213662905626735,-0.0546647414918245,0.0119321603664775,1,500
"raking",-0.017674830394478,-0.0545716179001201,0.019221957111164,1,500
"ipcw-tmle",-0.0272754204292254,-0.0707940366124867,0.0162431957540358,1,500
"ipcw-tmle-target-Pi-ver-1",-0.0249440654872429,-0.0602027883827486,0.0103146574082627,1,500
"raking",-0.0153882168439108,-0.0495392497069612,0.0187628160191395,1,500
"ipcw-tmle",-0.00605797000088468,-0.0892728777104567,0.0771569377086873,1,500
"ipcw-tmle-target-Pi-ver-1",-0.0269926753677672,-0.0711994031015682,0.0172140523660337,1,500
"raking",-0.0301720249660433,-0.0822103233911166,0.02186627345903,1,500
"ipcw-tmle",0.017728475218194,-0.0394055683261228,0.0748625187625108,1,500
