"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00323537817371371,-0.0492007108397897,0.0556714671872171,1,500
"ipcw-tmle-target-Pi-ver-3",-0.0083912754093142,-0.0330086818673774,0.016226131048749,1,500
"raking",0.00222029377006088,-0.0329159140074493,0.0373565015475711,1,500
"ipcw-tmle",0.0119344574913129,-0.0172436358308595,0.0411125508134853,1,500
"ipcw-tmle-target-Pi-ver-3",0.00990718208257943,-0.00598796945515292,0.0258023336203118,1,500
"raking",0.0127354288047801,-0.00447966165646815,0.0299505192660284,1,500
"ipcw-tmle",-0.00473542880694146,-0.0629276991363908,0.0534568415225079,1,500
"ipcw-tmle-target-Pi-ver-3",0.00490816614310746,-0.0287794129095523,0.0385957451957673,1,500
"raking",-0.00216625887328249,-0.0491838841408529,0.0448513663942879,1,500
"ipcw-tmle",0.0413411261755586,-0.0100039619746254,0.0926862143257426,1,500
"ipcw-tmle-target-Pi-ver-3",0.050337885227146,0.00814057968865615,0.0925351907656359,1,500
"raking",0.0227422005765053,-0.0135608598027682,0.0590452609557789,1,500
"ipcw-tmle",-0.0371833606243521,-0.0770073970317563,0.00264067578305206,1,500
"ipcw-tmle-target-Pi-ver-3",-0.0339953651677911,-0.0589030613090273,-0.00908766902655486,1,500
"raking",-0.00472754604806448,-0.0434621583464174,0.0340070662502884,1,500
"ipcw-tmle",-0.00667219918779402,-0.0455629734074656,0.0322185750318776,1,500
"ipcw-tmle-target-Pi-ver-3",-0.0188075836922395,-0.0507202514071218,0.0131050840226428,1,500
"raking",0.00209734333275859,-0.0351602806365257,0.0393549673020429,1,500
"ipcw-tmle",-0.030584103955484,-0.0787332912794066,0.0175650833684386,1,500
"ipcw-tmle-target-Pi-ver-3",-0.013837950801808,-0.0443299172670028,0.0166540156633868,1,500
"raking",-0.0125653945615365,-0.0451409258516085,0.0200101367285355,1,500
"ipcw-tmle",0.0344337949577716,-0.0109694979053702,0.0798370878209134,1,500
"ipcw-tmle-target-Pi-ver-3",0.0499171866318991,-0.0136067679589127,0.113441141222711,1,500
"raking",0.0236847880384578,-0.0144758388588589,0.0618454149357745,1,500
"ipcw-tmle",-0.00578084740781565,-0.0545465791162983,0.042984884300667,1,500
"ipcw-tmle-target-Pi-ver-3",-0.00768634561757775,-0.0385674480893481,0.0231947568541926,1,500
"raking",-0.0122562279978539,-0.0498723820826751,0.0253599260869673,1,500
"ipcw-tmle",-0.0243934241936987,-0.130679630052748,0.0818927816653501,1,500
"ipcw-tmle-target-Pi-ver-3",0.0150736691037107,-0.166865198380997,0.197012536588418,1,500
"raking",0.0196717455784275,-0.0376476782237363,0.0769911693805913,1,500
"ipcw-tmle",-0.0185219189775469,-0.0719859933931001,0.0349421554380063,1,500
"ipcw-tmle-target-Pi-ver-3",-0.046250392482718,-0.212096174803165,0.119595389837729,1,500
"raking",-0.00553317610806542,-0.0509655432234145,0.0398991910072836,1,500
"ipcw-tmle",0.0239566390761386,-0.0322502256555642,0.0801635038078413,1,500
"ipcw-tmle-target-Pi-ver-3",0.0241303606636,-0.0115986933327028,0.0598594146599029,1,500
"raking",0.0038886147373798,-0.0321117161690606,0.0398889456438202,1,500
"ipcw-tmle",0.00983056672703422,-0.0286361681719168,0.0482973016259853,1,500
"ipcw-tmle-target-Pi-ver-3",0.0177654021701743,-0.0027941168823603,0.0383249212227088,1,500
"raking",0.0148032737238301,-0.0128510311617332,0.0424575786093934,1,500
"ipcw-tmle",-0.00678437251628318,-0.0519775519438741,0.0384088069113078,1,500
"ipcw-tmle-target-Pi-ver-3",0.0130812712240904,-0.03391394752188,0.0600764899700607,1,500
"raking",-0.0243696134124181,-0.0703815700451144,0.0216423432202783,1,500
"ipcw-tmle",0.0490208107443465,-0.0194354713222562,0.117477092810949,1,500
