"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00323537817371379,-0.0492007108397897,0.0556714671872173,1,500
"ipcw-tmle-target-Pi-ver-3",-0.00839127540931413,-0.0330086818673773,0.016226131048749,1,500
"raking",0.00222029377006092,-0.0329159151611471,0.0373565027012689,1,500
"ipcw-tmle",0.0119344574913129,-0.0172436358308595,0.0411125508134853,1,500
"ipcw-tmle-target-Pi-ver-3",0.00990718208257949,-0.00598796945515291,0.0258023336203119,1,500
"raking",0.0127354288047801,-0.0044796900758684,0.0299505476854287,1,500
"ipcw-tmle",-0.00473542880694146,-0.0629276991363907,0.0534568415225078,1,500
"ipcw-tmle-target-Pi-ver-3",0.00490816614310723,-0.0287794129095525,0.0385957451957669,1,500
"raking",-0.00216625887328253,-0.049183884953589,0.0448513672070239,1,500
"ipcw-tmle",0.0413411261755586,-0.0100039619746254,0.0926862143257426,1,500
"ipcw-tmle-target-Pi-ver-3",0.0503378852271461,0.0081405796886562,0.092535190765636,1,500
"raking",0.0227422005765053,-0.0135608607453808,0.0590452618983914,1,500
"ipcw-tmle",-0.0371833606243521,-0.0770073970317563,0.00264067578305206,1,500
"ipcw-tmle-target-Pi-ver-3",-0.0339953651677911,-0.0589030613090273,-0.00908766902655492,1,500
"raking",-0.00472754604806453,-0.0434621572041847,0.0340070651080557,1,500
"ipcw-tmle",-0.00667219918779403,-0.0455629734074657,0.0322185750318776,1,500
"ipcw-tmle-target-Pi-ver-3",-0.0188075836922394,-0.0507202514071217,0.0131050840226428,1,500
"raking",0.00209734333275859,-0.0351603243933528,0.03935501105887,1,500
"ipcw-tmle",-0.0305841039554841,-0.0787332912794068,0.0175650833684386,1,500
"ipcw-tmle-target-Pi-ver-3",-0.0138379508018081,-0.0443299172670029,0.0166540156633867,1,500
"raking",-0.0125653945615364,-0.045140924488599,0.0200101353655262,1,500
"ipcw-tmle",0.0344337949577716,-0.0109694979053701,0.0798370878209134,1,500
"ipcw-tmle-target-Pi-ver-3",0.049917186631899,-0.0136067679589128,0.113441141222711,1,500
